Question,Position,Average Price,Current Price,Realized PnL,Total Invested,Unrealized PnL,Overall PnL,Overall PnL (%)
"Bitcoin Up or Down - February 6, 12:45PM-1:00PM ET - No 🔴",267.09483591,0.496356,0.945,43241.837188,49635.6,126.80475720847198,43368.64194520847,0.873740660840374
"Bitcoin Up or Down - February 1, 9:45AM-10:00AM ET - Yes 🟢",182.56293986650002,0.619527,0.9995,-299.678178,9620.236737,69.40368979479102,-230.27448820520897,-0.023936467937380343
"Bitcoin Up or Down - January 25, 1:45PM-2:00PM ET - Yes 🟢",155.43170560500002,0.59012,0.9955,3910.840586,6299.987936,63.29372658780002,3974.1343125877997,0.6308161782149482
"Bitcoin Up or Down - January 23, 6:45PM-7:00PM ET - Yes 🟢",62.051621804999996,0.578345,0.995,1631.047942,2499.99657,25.984038676544998,1657.031980676545,0.6628137016510167
"Bitcoin Up or Down - February 12, 6:30PM-6:45PM ET - Yes 🟢",59.31079776600001,0.539668,0.9995,9153.535942,10786.490279,27.286646081376006,9180.822588081377,0.8511408577408478
"Bitcoin Up or Down - January 26, 10:15AM-10:30AM ET - No 🔴",57.821584425,0.542071,0.825,2038.827455,2499.997176,19.829579466401,2058.657034466401,0.8234637439712056
"Bitcoin Up or Down - January 26, 7:30AM-7:45AM ET - No 🔴",56.44942256,0.542828,0.995,1622.192449,1999.997159,25.653113867136003,1647.8455628671359,0.8239239518175415
"Bitcoin Up or Down - January 24, 4:15PM-4:30PM ET - Yes 🟢",56.176276705,0.559303,0.985,1348.27417,2099.999175,24.278246156841,1372.552416156841,0.6535966454162255
"Bitcoin Up or Down - January 25, 10:30AM-10:45AM ET - No 🔴",55.901284107,0.548025,0.9985,95.608964,1999.9982,25.21996089945,120.82892489945,0.06041451682279014
"Bitcoin Up or Down - January 26, 12:45PM-1:00PM ET - Yes 🟢",55.5390108,0.541186,0.975,-288.982839,1999.997829,24.711385057632,-264.271453942368,-0.13213587040467134
"Bitcoin Up or Down - January 25, 4:45AM-5:00AM ET - No 🔴",54.70085013,0.551106,0.985,1569.290684,1999.998867,24.095807783052,1593.386491783052,0.7966936972185055
"Bitcoin Up or Down - January 30, 7:00PM-7:15PM ET - No 🔴",54.654301270000005,0.555187,0.995,1487.489,1999.999512,24.158464527098005,1511.647464527098,0.7558239166845846
"Bitcoin Up or Down - January 28, 1:00PM-1:15PM ET - No 🔴",54.5251427215,0.556946,0.9965,1283.863781,1999.997263,24.050922813654005,1307.9147038136541,0.6539582468486879
"Bitcoin Up or Down - January 25, 7:15AM-7:30AM ET - Yes 🟢",54.39198298,0.541319,0.955,-144.521336,1999.997969,23.561183153036,-120.960152846964,-0.060480137841061966
