timestamp,question,side,price,usd_amount,shares,comment
2026-02-13T23:33:03.000Z,"XRP Up or Down - February 13, 6PM ET - Up",Buy,0.660000170000085,1.941176,2.941175,💧 Smaller than usual
2026-02-13T23:33:01.000Z,"Bitcoin Up or Down - February 13, 6PM ET - Up",Buy,0.46000003240000614,3.407407,7.407406,💧 Smaller than usual
2026-02-13T23:33:01.000Z,"XRP Up or Down - February 13, 6PM ET - Up",Buy,0.660000170000085,1.941176,2.941175,💧 Smaller than usual
2026-02-13T23:32:59.000Z,"Bitcoin Up or Down - February 13, 6PM ET - Up",Buy,0.46000003456000466,4.259259,9.259258,💧 Smaller than usual
2026-02-13T23:32:59.000Z,"XRP Up or Down - February 13, 6PM ET - Up",Buy,0.66,9.9,15,
2026-02-13T23:32:59.000Z,"XRP Up or Down - February 13, 6PM ET - Up",Buy,0.66,9.9,15,
2026-02-13T23:32:57.000Z,"Bitcoin Up or Down - February 13, 6PM ET - Up",Buy,0.4600001159732073,1.269259,2.759258,💧 Smaller than usual
2026-02-13T23:32:57.000Z,"Bitcoin Up or Down - February 13, 6PM ET - Up",Buy,0.4600000000000001,1.3156,2.86,💧 Smaller than usual
2026-02-13T23:32:57.000Z,"Solana Up or Down - February 13, 6:30PM-6:45PM ET - Up",Buy,0.6499999999999999,1.8135,2.79,💧 Smaller than usual
2026-02-13T23:32:57.000Z,"Bitcoin Up or Down - February 13, 4:00PM-8:00PM ET - Down",Buy,0.19999999999999998,0.9275,4.6375,💧 Smaller than usual
2026-02-13T23:32:57.000Z,"Bitcoin Up or Down - February 13, 6PM ET - Up",Buy,0.45999999999999996,1.5594,3.39,💧 Smaller than usual
2026-02-13T23:32:55.000Z,"Bitcoin Up or Down - February 13, 4:00PM-8:00PM ET - Up",Buy,0.76,3.61,4.75,💧 Smaller than usual
2026-02-13T23:32:55.000Z,"Bitcoin Up or Down - February 13, 6PM ET - Up",Buy,0.47,23.5,50,
2026-02-13T23:32:55.000Z,"Bitcoin Up or Down - February 13, 4:00PM-8:00PM ET - Down",Buy,0.2,117.298,586.49,
2026-02-13T23:32:55.000Z,"Bitcoin Up or Down - February 13, 4:00PM-8:00PM ET - Up",Buy,0.760000013924915,37.113333,48.833332,
2026-02-13T23:32:43.000Z,"Bitcoin Up or Down - February 13, 6PM ET - Up",Buy,0.45999999999999996,2.3,5,💧 Smaller than usual
2026-02-13T23:32:41.000Z,"Bitcoin Up or Down - February 13, 6PM ET - Up",Buy,0.44768577494692147,4.2172,9.42,💧 Smaller than usual
2026-02-13T23:32:39.000Z,"Bitcoin Up or Down - February 13, 6PM ET - Up",Buy,0.43,3.311,7.7,💧 Smaller than usual
2026-02-13T23:32:39.000Z,"Solana Up or Down - February 13, 4:00PM-8:00PM ET - Up",Buy,0.13000006525015823,0.17931,1.379307,💧 Smaller than usual
2026-02-13T23:32:25.000Z,"Bitcoin Up or Down - February 13, 4:00PM-8:00PM ET - Up",Buy,0.75,1.29,1.72,💧 Smaller than usual
2026-02-13T23:32:11.000Z,"Solana Up or Down - February 13, 6:30PM-6:45PM ET - Up",Buy,0.5399999999999999,15.12,28,
2026-02-13T23:32:11.000Z,"Bitcoin Up or Down - February 13, 4:00PM-8:00PM ET - Down",Buy,0.2200000873600601,0.352564,1.602563,💧 Smaller than usual
2026-02-13T23:32:09.000Z,"Bitcoin Up or Down - February 13, 4:00PM-8:00PM ET - Up",Buy,0.73,1.6863,2.31,💧 Smaller than usual
2026-02-13T23:32:07.000Z,"Solana Up or Down - February 13, 6:30PM-6:45PM ET - Down",Buy,0.45999999999999996,10.12,22,
2026-02-13T23:32:03.000Z,"Ethereum Up or Down - February 13, 6:30PM-6:45PM ET - Down",Buy,0.38999999999999996,4.2627,10.93,💧 Smaller than usual
2026-02-13T23:32:01.000Z,"Solana Up or Down - February 13, 4:00PM-8:00PM ET - Down",Buy,0.8,1.088,1.36,💧 Smaller than usual
2026-02-13T23:31:49.000Z,"Bitcoin Up or Down - February 13, 4:00PM-8:00PM ET - Up",Buy,0.75,30,40,
2026-02-13T23:31:41.000Z,"XRP Up or Down - February 13, 6PM ET - Up",Buy,0.62,24.8,40,
2026-02-13T23:31:39.000Z,"XRP Up or Down - February 13, 6PM ET - Up",Buy,0.6486184328705602,49.579998,76.439391,
